region_id,machine_name,date,reference_hour,motor,genotype,age low,age high,video,ethoscope,run_id,gender
1,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
2,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
3,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
4,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
5,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
6,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
7,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP441,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
11,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP287,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
12,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP287,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
13,FLYSLEEPLAB_CV1,2020-06-26,12,N,DGRP287,1,2,Y,ETHOSCOPE_007,2020-06-26_12-30-11_007aad,M
1,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
2,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
3,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
4,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
5,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
6,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
7,ETHOSCOPE_007,2020-06-29,12,N,DGRP441,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
11,ETHOSCOPE_007,2020-06-29,12,N,DGRP287,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
12,ETHOSCOPE_007,2020-06-29,12,N,DGRP287,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
13,ETHOSCOPE_007,2020-06-29,12,N,DGRP287,4,5,,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
