region_id,machine_name,date,reference_hour,motor,genotype,age low,age high,video,comment,ethoscope
1,ETHOSCOPE_005,2020-05-17,12,Y,QUAS-dtrpA1#6xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
2,ETHOSCOPE_005,2020-05-17,12,N,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
3,ETHOSCOPE_005,2020-05-17,12,Y,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
4,ETHOSCOPE_005,2020-05-17,12,N,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
5,ETHOSCOPE_005,2020-05-17,12,Y,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
6,ETHOSCOPE_005,2020-05-17,12,N,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
7,ETHOSCOPE_005,2020-05-17,12,Y,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
8,ETHOSCOPE_005,2020-05-17,12,N,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
9,ETHOSCOPE_005,2020-05-17,12,Y,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
10,ETHOSCOPE_005,2020-05-17,12,N,QUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_005
11,ETHOSCOPE_005,2020-05-17,12,N,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
12,ETHOSCOPE_005,2020-05-17,12,Y,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
13,ETHOSCOPE_005,2020-05-17,12,N,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
14,ETHOSCOPE_005,2020-05-17,12,Y,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
15,ETHOSCOPE_005,2020-05-17,12,N,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
16,ETHOSCOPE_005,2020-05-17,12,Y,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
17,ETHOSCOPE_005,2020-05-17,12,N,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
18,ETHOSCOPE_005,2020-05-17,12,Y,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
19,ETHOSCOPE_005,2020-05-17,12,N,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
20,ETHOSCOPE_005,2020-05-17,12,Y,ISO31xISO31,10,12,N,SD in the first night,ETHOSCOPE_005
1,ETHOSCOPE_007,2020-05-17,12,Y,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
2,ETHOSCOPE_007,2020-05-17,12,N,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
3,ETHOSCOPE_007,2020-05-17,12,Y,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
4,ETHOSCOPE_007,2020-05-17,12,N,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
5,ETHOSCOPE_007,2020-05-17,12,Y,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
6,ETHOSCOPE_007,2020-05-17,12,N,alrm-QF2heckxQUAS-dtrpA1#6,10,12,N,SD in the first night,ETHOSCOPE_007
