,machine_name,date,region_id,status,DGRP,age,sex,food,Temperature,motor,ZT,DGRP_replicate,selection,optomotor,arena
1,ETHOSCOPE_008,2019-11-18,1,OK,287,5,M,sucrose,20,Rotated,2,#01,0,J,Pv
3,ETHOSCOPE_008,2019-11-18,3,OK,287,5,M,sucrose,20,Rotated,2,#02,0,J,Pv
5,ETHOSCOPE_008,2019-11-18,5,OK,287,5,M,sucrose,20,Rotated,2,#03,1,J,Pv
7,ETHOSCOPE_008,2019-11-18,7,OK,287,5,M,sucrose,20,Rotated,2,#04,1,J,Pv
9,ETHOSCOPE_008,2019-11-18,9,OK,287,5,M,sucrose,20,Rotated,2,#05,0,J,Pv
12,ETHOSCOPE_008,2019-11-18,12,OK,287,5,M,sucrose,20,Rotated,2,#06,1,J,Pv
14,ETHOSCOPE_008,2019-11-18,14,OK,287,5,M,sucrose,20,Rotated,2,#07,1,J,Pv
16,ETHOSCOPE_008,2019-11-18,16,OK,287,5,M,sucrose,20,Rotated,2,#08,1,J,Pv
18,ETHOSCOPE_008,2019-11-18,18,OK,287,5,M,sucrose,20,Rotated,2,#09,1,J,Pv
20,ETHOSCOPE_008,2019-11-18,20,OK,287,5,M,sucrose,20,Rotated,2,#10,0,J,Pv
1,ETHOSCOPE_009,2019-11-18,1,OK,303,5,M,sucrose,20,Rotated,2,#11,0,T,K
3,ETHOSCOPE_009,2019-11-18,3,OK,303,5,M,sucrose,20,Rotated,2,#12,0,T,K
5,ETHOSCOPE_009,2019-11-18,5,OK,303,5,M,sucrose,20,Rotated,2,#13,0,T,K
7,ETHOSCOPE_009,2019-11-18,7,OK,303,5,M,sucrose,20,Rotated,2,#14,0,T,K
9,ETHOSCOPE_009,2019-11-18,9,OK,303,5,M,sucrose,20,Rotated,2,#15,0,T,K
12,ETHOSCOPE_009,2019-11-18,12,OK,303,5,M,sucrose,20,Rotated,2,#16,0,T,K
14,ETHOSCOPE_009,2019-11-18,14,OK,287,5,M,sucrose,20,Rotated,2,#17,0,T,K
16,ETHOSCOPE_009,2019-11-18,16,OK,287,5,M,sucrose,20,Rotated,2,#18,0,T,K
18,ETHOSCOPE_009,2019-11-18,18,OK,287,5,M,sucrose,20,Rotated,2,#19,0,T,K
20,ETHOSCOPE_009,2019-11-18,20,OK,287,5,M,sucrose,20,Rotated,2,#20,0,T,K
